1989 Krugerrand 1 Oz,71,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1989\REP3 R2\1989 $T2eC16R,!ykE9s7t)dHNBP+pn,djcw~~60_12 (Jos).jpg   ",65,,"1989 $T2eC16R,!ykE9s7t)dHNBP+pn,djcw~~60_12 (Jos).jpg   "
1989 Krugerrand Prestige Set,72,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1989\REP3 R2\1989 $(KGrHqN,!qcE-+WJ2(lgBP+pnm2O,Q~~60_12 (Jos).jpg   ",65,,"1989 $(KGrHqN,!qcE-+WJ2(lgBP+pnm2O,Q~~60_12 (Jos).jpg   "
!1989 Krugerrand Proof Set,73,,C:\Users\Jos\Pictures\1989 1-4 66361_Obv.jpg   ,68,,1989 1-4 66361_Obv.jpg   
1989 RSA Currency Proof Coin Set,74,,C:\Users\Jos\Pictures\1989 1-4 66361_Rev.jpg   ,68,,1989 1-4 66361_Rev.jpg   
1990,75,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1989\REP3 PRF KRD HOz\1989 477799_111130004629_DSCN1321 (Jos).jpg   ,69,,1989 477799_111130004629_DSCN1321 (Jos).jpg   
1990 Protea Silver R1,76,,C:\Users\Jos\Pictures\1989 70610_Obv.jpg   ,70,,1989 70610_Obv.jpg   
1990 Protea R1 PW Botha,77,,C:\Users\Jos\Pictures\1989 70610_Rev.jpg   ,70,,1989 70610_Rev.jpg   
1990 Krugerrand T Oz,78,,C:\Users\Jos\Pictures\1989 1-4 66361_Obv.jpg   ,71,,1989 1-4 66361_Obv.jpg   
1990 Krugerrand Q Oz,79,,C:\Users\Jos\Pictures\1989 1-4 66361_Rev.jpg   ,71,,1989 1-4 66361_Rev.jpg   
1990 Krugerrand H Oz,80,,C:\Users\Jos\Pictures\1989 70610_Obv.jpg   ,71,,1989 70610_Obv.jpg   
1990 Krugerrand 1 Oz,81,,C:\Users\Jos\Pictures\1989 70610_Rev.jpg   ,71,,1989 70610_Rev.jpg   
1990 Krugerrand Prestige Set,82,,C:\Users\Jos\Pictures\1989southafricafourcoinkrugerrandgoldproofset400.jpg   ,72,,1989southafricafourcoinkrugerrandgoldproofset400.jpg   
1990 GRC Krugerrand Q Oz,82,,C:\Users\Jos\Pictures\1989 1-4 66361_Obv.jpg   ,72,,1989 1-4 66361_Obv.jpg   
1990 GRC Krugerrand Set,83,,C:\Users\Jos\Pictures\1989 1-4 66361_Rev.jpg   ,72,,1989 1-4 66361_Rev.jpg   
1990 RSA Currency Proof Coin Set,84,,C:\Users\Jos\Pictures\1989 70610_Obv.jpg   ,72,,1989 70610_Obv.jpg   
1991,85,,C:\Users\Jos\Pictures\1989 70610_Rev.jpg   ,72,,1989 70610_Rev.jpg   
1991 Protea Silver R1,86,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1989\REP3 SHORT\366193_111109112732_CC1140a (Jos).jpg   ,73,,366193_111109112732_CC1140a (Jos).jpg   
1991 Protea T Oz,87,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\COM SVR RND\366193_111109112056_CC1141a (Jos).jpg   ,75,,366193_111109112056_CC1141a (Jos).jpg   
1991 Protea 1 Oz,88,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\366193_111109112038_CC1141b (Jos).jpg   ,75,,366193_111109112038_CC1141b (Jos).jpg   
1991 Krugerrand T Oz,88,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\366193_111109112021_CC1141c (Jos).jpg   ,75,,366193_111109112021_CC1141c (Jos).jpg   
1991 Krugerrand Q Oz,88,,   ,77,,#VALUE!
1991 Krugerrand H Oz,89,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\1990 397264_110118163333_180111-10th-KR-H (Jos).jpg   ,77,,1990 397264_110118163333_180111-10th-KR-H (Jos).jpg   
1991 Krugerrand 1 Oz,89,,C:\Users\Administrator\Documents\#JPW\SAGC\Samples\1990\REP3 PRF KRD 1OZ\1990 Krugerrand 1 Oz f.jpg   ,77,,1990 Krugerrand 1 Oz f.jpg   
1991 Krugerrand Prestige Set,90,,C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\@COINS\1990 397264_110118163508_180111-10th-KR-T (Jos).jpg   ,77,,1990 397264_110118163508_180111-10th-KR-T (Jos).jpg   
1991 GRC Krugerrand Set,91,,C:\Users\Administrator\Documents\#JPW\SAGC\Samples\1990\REP3 PRF KRD 1OZ\1990 Krugerrand 1 Oz f.jpg   ,78,,1990 Krugerrand 1 Oz f.jpg   
1991 RSA Currency Proof Coin Set,92,,C:\Users\Administrator\Documents\#JPW\SAGC\Samples\1990\REP3 PRF KRD 1OZ\1990 Krugerrand 1 Oz f.jpg   ,79,,1990 Krugerrand 1 Oz f.jpg   
1992,93,,C:\Users\Jos\Pictures\1990-Proof-Krugerrand-in-SA-Mint-Box kl.png   ,80,,1990-Proof-Krugerrand-in-SA-Mint-Box kl.png   
1992 Protea Silver R1,94,,C:\Users\Jos\Pictures\1990 68355_Obv.jpg   ,80,,1990 68355_Obv.jpg   
1992 Protea Silver R2,95,,C:\Users\Jos\Pictures\1990 68355_Rev.jpg   ,80,,1990 68355_Rev.jpg   
1992 Protea T Oz,96,,"C:\Users\Jos\Documents\#JPW\SAGC\Samples\1990\REP3 PRF KRD 1OZ\$(KGrHqZHJFEE912iNJ,pBPo,1fSm)Q~~60_57 kl.jpg   ",80,,"$(KGrHqZHJFEE912iNJ,pBPo,1fSm)Q~~60_57 kl.jpg   "
1992 Protea 1 Oz,97,,C:\Users\Jos\Pictures\1990 68355_Obv.jpg   ,81,,1990 68355_Obv.jpg   
